repo_name,repo_url,fixed_commit,buggy_commit,changed_file,ast_diff,commit_msg
main, https://github.com/Qing-Yuan/main.git, 176edae7bd291e6a5e1bae561bf8dfb1a498d63f, 00c613182859941d18a4c04c7a2139ef5a124ba3, src/test/java/seedu/address/logic/commands/AddCommandTest.java,0, Fix checkstyle error again
k, https://github.com/kframework/k.git, 025a57225d967fa4601e94183b6ed8a03cecd44e, 638c0b5d0f5c6a439ce462fb8797033ce62dee47, kernel/src/main/java/org/kframework/compile/checks/CheckKLabels.java,1, Various improvements to K frontend #306\n\n* generic -PROGRAM-PARSING not just for ID\r\n\r\n* expand macros in llvm backend\r\n\r\n* expand macros in haskell backend\r\n\r\n* support or patterns in K frontend\r\n\r\n* fix associativity of #Or and #And\r\n\r\n* add tests for lambda\r\n\r\n* document new behavior of ==K and =/=K\r\n\r\n* allow unbound vars on rhs of ==K and =/=K\r\n\r\n* resolve ==K and =/=K to lambdas\r\n\r\n* change syntax of pattern matching operator\r\n\r\n* fix bug in classpath\r\n\r\n* update syntax of ml primitives in K\r\n\r\n* fix copyright\r\n\r\n* fix indent\r\n\r\n* fix bug with formatter and polymorphic associative klabels\r\n\r\n* update llvm submodule\r\n\r\n* or patterns in ocaml backend\r\n\r\n* add tests for or patterns\r\n\r\n* add tests for or patterns\r\n\r\n* fix syntax again\r\n\r\n* use only minimal productions when creating ambiguities during unparsing\r\n\r\nThis solves an OutOfMemoryError when unparsing large associative lists\r\nof polymorphic productions which were exploding in the size of the tree\r\nduring unparsing. We should never need to choose something that is not\r\nminimal with respect to the overload relation because a minimal\r\nproduction can always go anywhere a production would go that is greater\r\nthan it.\r\n\r\n* check well sortedness when constructing tree nodes\r\n\r\n* fix bug where extension module was not used to unparse collection items\r\n\r\n* update test outputs\r\n\r\n* update to k exercises\r\n\r\n* fix bug with empty amb node
k, https://github.com/kframework/k.git, 5866e0168a0b989d90b50f5f3fd82fe8b96459f8, fa2be5d60147d99f6475fc95b3581194ba6759bb, java-backend/src/main/java/org/kframework/backend/java/kil/Sort.java,1, update substitution module to use KVar and hook #316\n\n* update substitution module to use KVar and hook\r\n\r\n* fix whitespace
Alexandria, https://github.com/cmput301w19t02/Alexandria.git, 144866f8421c681ec3f1a8a75a357eb6a010eed1, 99c8214857ea67a2bfa55079926a59b77e7e0216, app/src/main/java/ca/ualberta/CMPUT3012019T02/alexandria/model/message/ImageMessage.java,1, added ImageMessageTests applied small fixes
Alexandria, https://github.com/cmput301w19t02/Alexandria.git, 144866f8421c681ec3f1a8a75a357eb6a010eed1, 99c8214857ea67a2bfa55079926a59b77e7e0216, app/src/test/java/ca/ualberta/CMPUT3012019T02/alexandria/TextMessageTests.java,1, added ImageMessageTests applied small fixes
Alexandria, https://github.com/cmput301w19t02/Alexandria.git, d0e6172642ed578535518e4928b7f1157a59648b, 144866f8421c681ec3f1a8a75a357eb6a010eed1, app/src/main/java/ca/ualberta/CMPUT3012019T02/alexandria/model/message/Message.java,1, fixed some typos and added ImageMessage functionality
battlesnake2019, https://github.com/MahumAzeem/battlesnake2019.git, 0865479f5ca2f808ab1d4cfd427400be222a07ef, b9807d96f5365ea03e71ab1663744fc383014821, src/main/java/io/battlesnake/Snake.java,1, debug
TSP_SE1, https://github.com/Supporterino/TSP_SE1.git, 51cb7ae5dcafaeb5fc8386466bb3d14d67371d2e, 90dfd6ca8608bdc85024219cbcab6c37fb67c4e9, src/main/reporting/Application.java,1, Adding db connection error message and some exception handling
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire/src/main/java/org/openhab/binding/onewire/internal/handler/BasicMultisensorThingHandler.java,1, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire/src/main/java/org/openhab/binding/onewire/internal/handler/EDSSensorThingHandler.java,1, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
RedConstruction, https://github.com/wanghao15536870732/RedConstruction.git, b46a40b3bf5278faa3db066ca10edd51f0e0cf02, 58a76022e4caf65aacbf750ef3ebea970c5e569e, app/src/main/java/com/example/zhongahiyi/redconstruction/adapter/SimpleStringRecyclerViewAdapter.java,2, :bug: delete some useless files.
RedConstruction, https://github.com/wanghao15536870732/RedConstruction.git, b46a40b3bf5278faa3db066ca10edd51f0e0cf02, 58a76022e4caf65aacbf750ef3ebea970c5e569e, app/src/main/java/com/example/zhongahiyi/redconstruction/view/activity/NewsDetailActivity.java,2, :bug: delete some useless files.
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire/src/main/java/org/openhab/binding/onewire/internal/DS2438Configuration.java,2, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire/src/main/java/org/openhab/binding/onewire/internal/device/DS2401.java,2, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire/src/main/java/org/openhab/binding/onewire/internal/discovery/OwDiscoveryItem.java,2, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire/src/main/java/org/openhab/binding/onewire/internal/handler/BasicThingHandler.java,2, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
spark, https://github.com/dongjoon-hyun/spark.git, 81dd21fda99da48ed76adb739a07d1dabf1ffb51, 1ba4011a7f91616e88df1d141a7057500309e14c, sql/core/src/test/java/test/org/apache/spark/sql/JavaUDFSuite.java,3, SPARK-26977CORE Fix warn against subclassing scala.App\n\n## What changes were proposed in this pull request?\n\nFix warn against subclassing scala.App\n\n## How was this patch tested?\n\nManual test\n\nCloses #23903 from manuzhang/fix_submit_warning.\n\nAuthored-by: manuzhang <owenzhang1990@gmail.com>\nSigned-off-by: Sean Owen <sean.owen@databricks.com>
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire.test/src/test/java/org/openhab/binding/onewire/test/AbstractDeviceTest.java,3, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire.test/src/test/java/org/openhab/binding/onewire/test/AbstractThingHandlerTest.java,3, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
openhab2-addons, https://github.com/maggu2810/openhab2-addons.git, 00e501bff002728c52ac677d4ab1a70aaf47574d, 741b9ec8f90d7bdf56dca094f5a735495ec21bc0, addons/binding/org.openhab.binding.onewire/src/main/java/org/openhab/binding/onewire/internal/discovery/OwDiscoveryService.java,3, onewire merge OwserverBridgeHandler into OwBaseBridgeHandler #4710\n\n* merge OwserverBridgeHandler into OwBaseBridgeHandler\r\n* remove paramater map\r\n* fix broken refresh task after exception\r\n\r\nSigned-off-by: Jan N. Klug <jan.n.klug@rub.de>
